a1,a2,a3,a4,a5,a6,a7,class
the,SIA,SQs,position,in,testimony,before,NN
SIA,SQs,position,in,testimony,before,the,IN
SQs,position,in,testimony,before,the,House,NN
position,in,testimony,before,the,House,Telecommunications,IN
in,testimony,before,the,House,Telecommunications,and,DT
testimony,before,the,House,Telecommunications,and,Finance,NNP
before,the,House,Telecommunications,and,Finance,Subcommittee,NNPS
the,House,Telecommunications,and,Finance,Subcommittee,this,CC
House,Telecommunications,and,Finance,Subcommittee,this,week,NNP
Telecommunications,and,Finance,Subcommittee,this,week,COMMA,NNP
and,Finance,Subcommittee,this,week,COMMA,a,DT
Finance,Subcommittee,this,week,COMMA,a,spokesman,NN
Subcommittee,this,week,COMMA,a,spokesman,said,COMMA
this,week,COMMA,a,spokesman,said,PERIOD,DT
week,COMMA,a,spokesman,said,PERIOD,_,NN
COMMA,a,spokesman,said,PERIOD,_,_,VBD
a,spokesman,said,PERIOD,_,_,_,PERIOD
_,_,_,The,ailing,company,COMMA,DT
_,_,The,ailing,company,COMMA,which,VBG
_,The,ailing,company,COMMA,which,has,NN
The,ailing,company,COMMA,which,has,reported,COMMA
ailing,company,COMMA,which,has,reported,net,WDT
company,COMMA,which,has,reported,net,losses,VBZ
COMMA,which,has,reported,net,losses,for,VBN
which,has,reported,net,losses,for,16,JJ
has,reported,net,losses,for,16,consecutive,NNS
reported,net,losses,for,16,consecutive,quarters,IN
net,losses,for,16,consecutive,quarters,COMMA,CD
losses,for,16,consecutive,quarters,COMMA,said,JJ
for,16,consecutive,quarters,COMMA,said,it,NNS
16,consecutive,quarters,COMMA,said,it,wo,COMMA
consecutive,quarters,COMMA,said,it,wo,nSQt,VBD
quarters,COMMA,said,it,wo,nSQt,manufacture,PRP
COMMA,said,it,wo,nSQt,manufacture,network,MD
said,it,wo,nSQt,manufacture,network,computer,RB
it,wo,nSQt,manufacture,network,computer,systems,VB
wo,nSQt,manufacture,network,computer,systems,any,NN
nSQt,manufacture,network,computer,systems,any,more,NN
manufacture,network,computer,systems,any,more,and,NNS
network,computer,systems,any,more,and,will,RB
computer,systems,any,more,and,will,greatly,JJR
systems,any,more,and,will,greatly,reduce,CC
any,more,and,will,greatly,reduce,its,MD
more,and,will,greatly,reduce,its,costly,RB
and,will,greatly,reduce,its,costly,direct,VB
will,greatly,reduce,its,costly,direct,sales,PRPSTR
greatly,reduce,its,costly,direct,sales,force,JJ
reduce,its,costly,direct,sales,force,PERIOD,JJ
its,costly,direct,sales,force,PERIOD,_,NNS
costly,direct,sales,force,PERIOD,_,_,NN
direct,sales,force,PERIOD,_,_,_,PERIOD
_,_,_,Among,paper,company,stocks,IN
_,_,Among,paper,company,stocks,that,NN
_,Among,paper,company,stocks,that,rallied,NN
Among,paper,company,stocks,that,rallied,on,NNS
paper,company,stocks,that,rallied,on,the,WDT
company,stocks,that,rallied,on,the,Big,VBD
stocks,that,rallied,on,the,Big,Board,IN
that,rallied,on,the,Big,Board,because,DT
rallied,on,the,Big,Board,because,of,NNP
on,the,Big,Board,because,of,the,NNP
the,Big,Board,because,of,the,offer,IN
Big,Board,because,of,the,offer,were,IN
Board,because,of,the,offer,were,Union,DT
because,of,the,offer,were,Union,Camp,NN
of,the,offer,were,Union,Camp,COMMA,VBD
the,offer,were,Union,Camp,COMMA,up,NNP
offer,were,Union,Camp,COMMA,up,STR,NNP
were,Union,Camp,COMMA,up,STR,2PERIOD75,COMMA
Union,Camp,COMMA,up,STR,2PERIOD75,to,RB
Camp,COMMA,up,STR,2PERIOD75,to,STR,STR
COMMA,up,STR,2PERIOD75,to,STR,37PERIOD75,CD
up,STR,2PERIOD75,to,STR,37PERIOD75,COMMA,TO
STR,2PERIOD75,to,STR,37PERIOD75,COMMA,Federal,STR
2PERIOD75,to,STR,37PERIOD75,COMMA,Federal,Paperboard,CD
to,STR,37PERIOD75,COMMA,Federal,Paperboard,COMMA,COMMA
STR,37PERIOD75,COMMA,Federal,Paperboard,COMMA,up,NNP
37PERIOD75,COMMA,Federal,Paperboard,COMMA,up,STR,NNP
COMMA,Federal,Paperboard,COMMA,up,STR,1PERIOD75,COMMA
Federal,Paperboard,COMMA,up,STR,1PERIOD75,to,RB
Paperboard,COMMA,up,STR,1PERIOD75,to,STR,STR
COMMA,up,STR,1PERIOD75,to,STR,27PERIOD875,CD
up,STR,1PERIOD75,to,STR,27PERIOD875,COMMA,TO
STR,1PERIOD75,to,STR,27PERIOD875,COMMA,Mead,STR
1PERIOD75,to,STR,27PERIOD875,COMMA,Mead,COMMA,CD
to,STR,27PERIOD875,COMMA,Mead,COMMA,up,COMMA
STR,27PERIOD875,COMMA,Mead,COMMA,up,STR,NN
27PERIOD875,COMMA,Mead,COMMA,up,STR,2PERIOD375,COMMA
COMMA,Mead,COMMA,up,STR,2PERIOD375,to,RB
Mead,COMMA,up,STR,2PERIOD375,to,STR,STR
COMMA,up,STR,2PERIOD375,to,STR,38PERIOD75,CD
up,STR,2PERIOD375,to,STR,38PERIOD75,COMMA,TO
STR,2PERIOD375,to,STR,38PERIOD75,COMMA,and,STR
2PERIOD375,to,STR,38PERIOD75,COMMA,and,Temple,CD
to,STR,38PERIOD75,COMMA,and,Temple,Inland,COMMA
STR,38PERIOD75,COMMA,and,Temple,Inland,IncPERIOD,CC
38PERIOD75,COMMA,and,Temple,Inland,IncPERIOD,COMMA,NNP
COMMA,and,Temple,Inland,IncPERIOD,COMMA,up,NNP
and,Temple,Inland,IncPERIOD,COMMA,up,STR,NNP
Temple,Inland,IncPERIOD,COMMA,up,STR,3PERIOD75,COMMA
Inland,IncPERIOD,COMMA,up,STR,3PERIOD75,to,RB
IncPERIOD,COMMA,up,STR,3PERIOD75,to,STR,STR
COMMA,up,STR,3PERIOD75,to,STR,62PERIOD25,CD
up,STR,3PERIOD75,to,STR,62PERIOD25,PERIOD,TO
STR,3PERIOD75,to,STR,62PERIOD25,PERIOD,_,STR
3PERIOD75,to,STR,62PERIOD25,PERIOD,_,_,CD
to,STR,62PERIOD25,PERIOD,_,_,_,PERIOD
_,_,_,A,Daikin,executive,in,DT
_,_,A,Daikin,executive,in,charge,NNP
_,A,Daikin,executive,in,charge,of,NN
A,Daikin,executive,in,charge,of,exports,IN
Daikin,executive,in,charge,of,exports,when,NN
executive,in,charge,of,exports,when,the,IN
in,charge,of,exports,when,the,high-purity,NNS
charge,of,exports,when,the,high-purity,halogenated,WRB
of,exports,when,the,high-purity,halogenated,hydrocarbon,DT
exports,when,the,high-purity,halogenated,hydrocarbon,was,NN
when,the,high-purity,halogenated,hydrocarbon,was,sold,VBD
the,high-purity,halogenated,hydrocarbon,was,sold,to,NN
high-purity,halogenated,hydrocarbon,was,sold,to,the,VBD
halogenated,hydrocarbon,was,sold,to,the,Soviets,VBN
hydrocarbon,was,sold,to,the,Soviets,in,TO
was,sold,to,the,Soviets,in,1986,DT
sold,to,the,Soviets,in,1986,received,NNPS
to,the,Soviets,in,1986,received,a,IN
the,Soviets,in,1986,received,a,suspended,CD
Soviets,in,1986,received,a,suspended,10-month,VBD
in,1986,received,a,suspended,10-month,jail,DT
1986,received,a,suspended,10-month,jail,sentence,VBN
received,a,suspended,10-month,jail,sentence,PERIOD,JJ
a,suspended,10-month,jail,sentence,PERIOD,_,NN
suspended,10-month,jail,sentence,PERIOD,_,_,NN
10-month,jail,sentence,PERIOD,_,_,_,PERIOD
_,_,_,But,while,the,merits,CC
_,_,But,while,the,merits,of,IN
_,But,while,the,merits,of,diversification,DT
But,while,the,merits,of,diversification,shine,NNS
while,the,merits,of,diversification,shine,through,IN
the,merits,of,diversification,shine,through,when,NN
merits,of,diversification,shine,through,when,times,VBP
of,diversification,shine,through,when,times,are,RB
diversification,shine,through,when,times,are,tough,WRB
shine,through,when,times,are,tough,COMMA,NNS
through,when,times,are,tough,COMMA,there,VBP
when,times,are,tough,COMMA,there,SQs,JJ
times,are,tough,COMMA,there,SQs,also,COMMA
are,tough,COMMA,there,SQs,also,a,EX
tough,COMMA,there,SQs,also,a,price,VBZ
COMMA,there,SQs,also,a,price,to,RB
there,SQs,also,a,price,to,pay,DT
SQs,also,a,price,to,pay,COLON,NN
also,a,price,to,pay,COLON,A,TO
a,price,to,pay,COLON,A,diversified,VB
price,to,pay,COLON,A,diversified,portfolio,COLON
to,pay,COLON,A,diversified,portfolio,always,DT
pay,COLON,A,diversified,portfolio,always,underperforms,JJ
COLON,A,diversified,portfolio,always,underperforms,an,NN
A,diversified,portfolio,always,underperforms,an,undiversified,RB
diversified,portfolio,always,underperforms,an,undiversified,portfolio,VBZ
portfolio,always,underperforms,an,undiversified,portfolio,during,DT
always,underperforms,an,undiversified,portfolio,during,those,JJ
underperforms,an,undiversified,portfolio,during,those,times,NN
an,undiversified,portfolio,during,those,times,when,IN
undiversified,portfolio,during,those,times,when,the,DT
portfolio,during,those,times,when,the,investment,NNS
during,those,times,when,the,investment,in,WRB
those,times,when,the,investment,in,the,DT
times,when,the,investment,in,the,undiversified,NN
when,the,investment,in,the,undiversified,portfolio,IN
the,investment,in,the,undiversified,portfolio,is,DT
investment,in,the,undiversified,portfolio,is,truly,JJ
in,the,undiversified,portfolio,is,truly,hot,NN
the,undiversified,portfolio,is,truly,hot,PERIOD,VBZ
undiversified,portfolio,is,truly,hot,PERIOD,_,RB
portfolio,is,truly,hot,PERIOD,_,_,JJ
is,truly,hot,PERIOD,_,_,_,PERIOD
_,_,_,Now,there,SQs,nothin,RB
_,_,Now,there,SQs,nothin,left,EX
_,Now,there,SQs,nothin,left,of,VBZ
Now,there,SQs,nothin,left,of,me,NN
there,SQs,nothin,left,of,me,PERIOD,VBN
SQs,nothin,left,of,me,PERIOD,_,IN
nothin,left,of,me,PERIOD,_,_,PRP
left,of,me,PERIOD,_,_,_,PERIOD
_,_,_,But,that,wo,nSQt,CC
_,_,But,that,wo,nSQt,be,DT
_,But,that,wo,nSQt,be,easy,MD
But,that,wo,nSQt,be,easy,PERIOD,RB
that,wo,nSQt,be,easy,PERIOD,_,VB
wo,nSQt,be,easy,PERIOD,_,_,JJ
nSQt,be,easy,PERIOD,_,_,_,PERIOD
_,_,_,That,evening,turned,out,DT
_,_,That,evening,turned,out,to,NN
_,That,evening,turned,out,to,be,VBD
That,evening,turned,out,to,be,hell,RP
evening,turned,out,to,be,hell,like,TO
turned,out,to,be,hell,like,all,VB
out,to,be,hell,like,all,the,NN
to,be,hell,like,all,the,others,IN
be,hell,like,all,the,others,PERIOD,PDT
hell,like,all,the,others,PERIOD,_,DT
like,all,the,others,PERIOD,_,_,NNS
all,the,others,PERIOD,_,_,_,PERIOD
_,_,_,The,tsunami-warning,system,developed,DT
_,_,The,tsunami-warning,system,developed,since,JJ
_,The,tsunami-warning,system,developed,since,the,NN
The,tsunami-warning,system,developed,since,the,1946,VBN
tsunami-warning,system,developed,since,the,1946,disaster,IN
system,developed,since,the,1946,disaster,in,DT
developed,since,the,1946,disaster,in,Hawaii,CD
since,the,1946,disaster,in,Hawaii,relies,NN
the,1946,disaster,in,Hawaii,relies,mainly,IN
1946,disaster,in,Hawaii,relies,mainly,on,NNP
disaster,in,Hawaii,relies,mainly,on,a,VBZ
in,Hawaii,relies,mainly,on,a,simple,RB
Hawaii,relies,mainly,on,a,simple,and,IN
relies,mainly,on,a,simple,and,ingenious,DT
mainly,on,a,simple,and,ingenious,instrument,JJ
on,a,simple,and,ingenious,instrument,devised,CC
a,simple,and,ingenious,instrument,devised,by,JJ
simple,and,ingenious,instrument,devised,by,Commander,NN
and,ingenious,instrument,devised,by,Commander,CPERIODKPERIOD,VBN
ingenious,instrument,devised,by,Commander,CPERIODKPERIOD,Green,IN
instrument,devised,by,Commander,CPERIODKPERIOD,Green,of,NNP
devised,by,Commander,CPERIODKPERIOD,Green,of,the,NNP
by,Commander,CPERIODKPERIOD,Green,of,the,Coast,NNP
Commander,CPERIODKPERIOD,Green,of,the,Coast,and,IN
CPERIODKPERIOD,Green,of,the,Coast,and,Geodetic,DT
Green,of,the,Coast,and,Geodetic,Survey,NNP
of,the,Coast,and,Geodetic,Survey,staff,CC
the,Coast,and,Geodetic,Survey,staff,PERIOD,NNP
Coast,and,Geodetic,Survey,staff,PERIOD,_,NNP
and,Geodetic,Survey,staff,PERIOD,_,_,NN
Geodetic,Survey,staff,PERIOD,_,_,_,PERIOD
_,_,_,Without,detailing,specific,product,IN
_,_,Without,detailing,specific,product,breakdowns,VBG
_,Without,detailing,specific,product,breakdowns,COMMA,JJ
Without,detailing,specific,product,breakdowns,COMMA,Nintendo,NN
detailing,specific,product,breakdowns,COMMA,Nintendo,credited,NNS
specific,product,breakdowns,COMMA,Nintendo,credited,its,COMMA
product,breakdowns,COMMA,Nintendo,credited,its,bullish,NNP
breakdowns,COMMA,Nintendo,credited,its,bullish,upsurge,VBD
COMMA,Nintendo,credited,its,bullish,upsurge,in,PRPSTR
Nintendo,credited,its,bullish,upsurge,in,sales,JJ
credited,its,bullish,upsurge,in,sales,--,NN
its,bullish,upsurge,in,sales,--,including,IN
bullish,upsurge,in,sales,--,including,advanced,NNS
upsurge,in,sales,--,including,advanced,computer,COLON
in,sales,--,including,advanced,computer,games,VBG
sales,--,including,advanced,computer,games,and,VBN
--,including,advanced,computer,games,and,television,NN
including,advanced,computer,games,and,television,entertainment,NNS
advanced,computer,games,and,television,entertainment,systems,CC
computer,games,and,television,entertainment,systems,--,NN
games,and,television,entertainment,systems,--,to,NN
and,television,entertainment,systems,--,to,surging,NNS
television,entertainment,systems,--,to,surging,DBQ,COLON
entertainment,systems,--,to,surging,DBQ,leisure-oriented,TO
systems,--,to,surging,DBQ,leisure-oriented,DQ,JJ
--,to,surging,DBQ,leisure-oriented,DQ,sales,DBQ
to,surging,DBQ,leisure-oriented,DQ,sales,in,JJ
surging,DBQ,leisure-oriented,DQ,sales,in,foreign,DQ
DBQ,leisure-oriented,DQ,sales,in,foreign,markets,NNS
leisure-oriented,DQ,sales,in,foreign,markets,PERIOD,IN
DQ,sales,in,foreign,markets,PERIOD,_,JJ
sales,in,foreign,markets,PERIOD,_,_,NNS
in,foreign,markets,PERIOD,_,_,_,PERIOD
_,_,_,At,the,prearranged,time,IN
_,_,At,the,prearranged,time,COMMA,DT
_,At,the,prearranged,time,COMMA,Greg,VBN
At,the,prearranged,time,COMMA,Greg,started,NN
the,prearranged,time,COMMA,Greg,started,the,COMMA
prearranged,time,COMMA,Greg,started,the,engine,NNP
time,COMMA,Greg,started,the,engine,and,VBD
COMMA,Greg,started,the,engine,and,taxied,DT
Greg,started,the,engine,and,taxied,out,NN
started,the,engine,and,taxied,out,PERIOD,CC
the,engine,and,taxied,out,PERIOD,_,VBD
engine,and,taxied,out,PERIOD,_,_,RB
and,taxied,out,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,We,have,sufficient,DBQ
_,_,DBQ,We,have,sufficient,cash,PRP
_,DBQ,We,have,sufficient,cash,flow,VBP
DBQ,We,have,sufficient,cash,flow,to,JJ
We,have,sufficient,cash,flow,to,handle,NN
have,sufficient,cash,flow,to,handle,that,NN
sufficient,cash,flow,to,handle,that,COMMA,TO
cash,flow,to,handle,that,COMMA,DQ,VB
flow,to,handle,that,COMMA,DQ,he,DT
to,handle,that,COMMA,DQ,he,said,COMMA
handle,that,COMMA,DQ,he,said,PERIOD,DQ
that,COMMA,DQ,he,said,PERIOD,_,PRP
COMMA,DQ,he,said,PERIOD,_,_,VBD
DQ,he,said,PERIOD,_,_,_,PERIOD
_,_,_,Here,are,price,trends,RB
_,_,Here,are,price,trends,on,VBP
_,Here,are,price,trends,on,the,NN
Here,are,price,trends,on,the,world,NNS
are,price,trends,on,the,world,SQs,IN
price,trends,on,the,world,SQs,major,DT
trends,on,the,world,SQs,major,stock,NN
on,the,world,SQs,major,stock,markets,POS
the,world,SQs,major,stock,markets,COMMA,JJ
world,SQs,major,stock,markets,COMMA,as,NN
SQs,major,stock,markets,COMMA,as,calculated,NNS
major,stock,markets,COMMA,as,calculated,by,COMMA
stock,markets,COMMA,as,calculated,by,Morgan,IN
markets,COMMA,as,calculated,by,Morgan,Stanley,VBN
COMMA,as,calculated,by,Morgan,Stanley,Capital,IN
as,calculated,by,Morgan,Stanley,Capital,International,NNP
calculated,by,Morgan,Stanley,Capital,International,Perspective,NNP
by,Morgan,Stanley,Capital,International,Perspective,COMMA,NNP
Morgan,Stanley,Capital,International,Perspective,COMMA,Geneva,NNP
Stanley,Capital,International,Perspective,COMMA,Geneva,PERIOD,NNP
Capital,International,Perspective,COMMA,Geneva,PERIOD,_,COMMA
International,Perspective,COMMA,Geneva,PERIOD,_,_,NNP
Perspective,COMMA,Geneva,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,My,cousin,works,DBQ
_,_,DBQ,My,cousin,works,at,PRPSTR
_,DBQ,My,cousin,works,at,the,NN
DBQ,My,cousin,works,at,the,Labor,NNS
My,cousin,works,at,the,Labor,Bureau,IN
cousin,works,at,the,Labor,Bureau,PERIOD,DT
works,at,the,Labor,Bureau,PERIOD,_,NNP
at,the,Labor,Bureau,PERIOD,_,_,NNP
the,Labor,Bureau,PERIOD,_,_,_,PERIOD
_,_,_,The,expedition,was,under,DT
_,_,The,expedition,was,under,orders,NN
_,The,expedition,was,under,orders,to,VBD
The,expedition,was,under,orders,to,make,IN
expedition,was,under,orders,to,make,a,NNS
was,under,orders,to,make,a,swift,TO
under,orders,to,make,a,swift,survey,VB
orders,to,make,a,swift,survey,of,DT
to,make,a,swift,survey,of,conditions,JJ
make,a,swift,survey,of,conditions,and,NN
a,swift,survey,of,conditions,and,then,IN
swift,survey,of,conditions,and,then,to,NNS
survey,of,conditions,and,then,to,return,CC
of,conditions,and,then,to,return,to,RB
conditions,and,then,to,return,to,Earth,TO
and,then,to,return,to,Earth,PERIOD,VB
then,to,return,to,Earth,PERIOD,_,TO
to,return,to,Earth,PERIOD,_,_,NNP
return,to,Earth,PERIOD,_,_,_,PERIOD
_,_,_,Richard,Newsom,COMMA,a,NNP
_,_,Richard,Newsom,COMMA,a,California,NNP
_,Richard,Newsom,COMMA,a,California,state,COMMA
Richard,Newsom,COMMA,a,California,state,official,DT
Newsom,COMMA,a,California,state,official,who,NNP
COMMA,a,California,state,official,who,last,NN
a,California,state,official,who,last,year,NN
California,state,official,who,last,year,examined,WP
state,official,who,last,year,examined,Lincoln,JJ
official,who,last,year,examined,Lincoln,SQs,NN
who,last,year,examined,Lincoln,SQs,parent,VBD
last,year,examined,Lincoln,SQs,parent,COMMA,NNP
year,examined,Lincoln,SQs,parent,COMMA,American,POS
examined,Lincoln,SQs,parent,COMMA,American,Continental,NN
Lincoln,SQs,parent,COMMA,American,Continental,CorpPERIOD,COMMA
SQs,parent,COMMA,American,Continental,CorpPERIOD,COMMA,NNP
parent,COMMA,American,Continental,CorpPERIOD,COMMA,said,NNP
COMMA,American,Continental,CorpPERIOD,COMMA,said,he,NNP
American,Continental,CorpPERIOD,COMMA,said,he,also,COMMA
Continental,CorpPERIOD,COMMA,said,he,also,saw,VBD
CorpPERIOD,COMMA,said,he,also,saw,evidence,PRP
COMMA,said,he,also,saw,evidence,that,RB
said,he,also,saw,evidence,that,crimes,VBD
he,also,saw,evidence,that,crimes,had,NN
also,saw,evidence,that,crimes,had,been,IN
saw,evidence,that,crimes,had,been,committed,NNS
evidence,that,crimes,had,been,committed,PERIOD,VBD
that,crimes,had,been,committed,PERIOD,_,VBN
crimes,had,been,committed,PERIOD,_,_,VBN
had,been,committed,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,Because,Tokyo,did,DBQ
_,_,DBQ,Because,Tokyo,did,nSQt,IN
_,DBQ,Because,Tokyo,did,nSQt,collapse,NNP
DBQ,Because,Tokyo,did,nSQt,collapse,COMMA,VBD
Because,Tokyo,did,nSQt,collapse,COMMA,let,RB
Tokyo,did,nSQt,collapse,COMMA,let,SQs,VB
did,nSQt,collapse,COMMA,let,SQs,pick,COMMA
nSQt,collapse,COMMA,let,SQs,pick,up,VB
collapse,COMMA,let,SQs,pick,up,a,POS
COMMA,let,SQs,pick,up,a,little,VB
let,SQs,pick,up,a,little,stock,RP
SQs,pick,up,a,little,stock,COMMA,DT
pick,up,a,little,stock,COMMA,DQ,JJ
up,a,little,stock,COMMA,DQ,MrPERIOD,NN
a,little,stock,COMMA,DQ,MrPERIOD,Smith,COMMA
little,stock,COMMA,DQ,MrPERIOD,Smith,said,DQ
stock,COMMA,DQ,MrPERIOD,Smith,said,PERIOD,NNP
COMMA,DQ,MrPERIOD,Smith,said,PERIOD,_,NNP
DQ,MrPERIOD,Smith,said,PERIOD,_,_,VBD
MrPERIOD,Smith,said,PERIOD,_,_,_,PERIOD
_,_,_,The,plan,will,help,DT
_,_,The,plan,will,help,the,NN
_,The,plan,will,help,the,company,MD
The,plan,will,help,the,company,in,VB
plan,will,help,the,company,in,its,DT
will,help,the,company,in,its,existing,NN
help,the,company,in,its,existing,joint,IN
the,company,in,its,existing,joint,manufacturing,PRPSTR
company,in,its,existing,joint,manufacturing,agreement,VBG
in,its,existing,joint,manufacturing,agreement,with,NN
its,existing,joint,manufacturing,agreement,with,AT&T,NN
existing,joint,manufacturing,agreement,with,AT&T,PERIOD,NN
joint,manufacturing,agreement,with,AT&T,PERIOD,_,IN
manufacturing,agreement,with,AT&T,PERIOD,_,_,NNP
agreement,with,AT&T,PERIOD,_,_,_,PERIOD
_,_,_,Wally,ca,nSQt,go,NNP
_,_,Wally,ca,nSQt,go,any,MD
_,Wally,ca,nSQt,go,any,place,RB
Wally,ca,nSQt,go,any,place,at,VB
ca,nSQt,go,any,place,at,this,DT
nSQt,go,any,place,at,this,hour,NN
go,any,place,at,this,hour,DQ,IN
any,place,at,this,hour,DQ,--,DT
place,at,this,hour,DQ,--,DBQ,NN
at,this,hour,DQ,--,DBQ,Well,DQ
this,hour,DQ,--,DBQ,Well,then,COLON
hour,DQ,--,DBQ,Well,then,COMMA,DBQ
DQ,--,DBQ,Well,then,COMMA,I,UH
--,DBQ,Well,then,COMMA,I,SQll,RB
DBQ,Well,then,COMMA,I,SQll,get,COMMA
Well,then,COMMA,I,SQll,get,out,PRP
then,COMMA,I,SQll,get,out,DQ,MD
COMMA,I,SQll,get,out,DQ,--,VB
I,SQll,get,out,DQ,--,But,IN
SQll,get,out,DQ,--,But,she,DQ
get,out,DQ,--,But,she,looked,COLON
out,DQ,--,But,she,looked,uncertain,CC
DQ,--,But,she,looked,uncertain,PERIOD,PRP
--,But,she,looked,uncertain,PERIOD,_,VBD
But,she,looked,uncertain,PERIOD,_,_,JJ
she,looked,uncertain,PERIOD,_,_,_,PERIOD
_,_,_,It,happened,at,the,PRP
_,_,It,happened,at,the,StPERIOD,VBD
_,It,happened,at,the,StPERIOD,Patrick,IN
It,happened,at,the,StPERIOD,Patrick,SQs,DT
happened,at,the,StPERIOD,Patrick,SQs,Day,NNP
at,the,StPERIOD,Patrick,SQs,Day,party,NNP
the,StPERIOD,Patrick,SQs,Day,party,COMMA,POS
StPERIOD,Patrick,SQs,Day,party,COMMA,a,NN
Patrick,SQs,Day,party,COMMA,a,big,NN
SQs,Day,party,COMMA,a,big,affair,COMMA
Day,party,COMMA,a,big,affair,for,DT
party,COMMA,a,big,affair,for,a,JJ
COMMA,a,big,affair,for,a,regiment,NN
a,big,affair,for,a,regiment,which,IN
big,affair,for,a,regiment,which,had,DT
affair,for,a,regiment,which,had,gone,NN
for,a,regiment,which,had,gone,into,WDT
a,regiment,which,had,gone,into,battle,VBD
regiment,which,had,gone,into,battle,for,VBN
which,had,gone,into,battle,for,over,IN
had,gone,into,battle,for,over,three-quarters,NN
gone,into,battle,for,over,three-quarters,of,IN
into,battle,for,over,three-quarters,of,a,IN
battle,for,over,three-quarters,of,a,century,NNS
for,over,three-quarters,of,a,century,to,IN
over,three-quarters,of,a,century,to,the,DT
three-quarters,of,a,century,to,the,strains,NN
of,a,century,to,the,strains,of,TO
a,century,to,the,strains,of,an,DT
century,to,the,strains,of,an,Irish,NNS
to,the,strains,of,an,Irish,march,IN
the,strains,of,an,Irish,march,PERIOD,DT
strains,of,an,Irish,march,PERIOD,_,JJ
of,an,Irish,march,PERIOD,_,_,NN
an,Irish,march,PERIOD,_,_,_,PERIOD
_,_,_,MrsPERIOD,Ward,says,she,NNP
_,_,MrsPERIOD,Ward,says,she,often,NNP
_,MrsPERIOD,Ward,says,she,often,defended,VBZ
MrsPERIOD,Ward,says,she,often,defended,her,PRP
Ward,says,she,often,defended,her,to,RB
says,she,often,defended,her,to,colleagues,VBD
she,often,defended,her,to,colleagues,who,PRP
often,defended,her,to,colleagues,who,called,TO
